Question,Expected Response,Generated Response,BLEU Score,METEOR Score,Response Time
Hello,"['Hello, how can I assist you today ?', 'Hi there, how may I help you ?', 'Greetings! What can I do for you ?']",Hello to you as well. Please check the new sticky for updates.,0.0,0.10526315789473684,1.6709365844726562
Can I return the product purchased with a gift card ?,"['Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.', ""Absolutely, it's possible to return a product bought with a gift card, and you'll receive store credit or a new gift card as a refund."", ""Sure thing, if you've purchased a product with a gift card, you can still return it and get a refund in the form of store credit or a new gift card.""]",You can return the product purchased with a gift card. The refund will be processed based on the amount paid after the discount.,0.39446940999894253,0.4941075211864406,2.9216291904449463
Any gift wrapping services available ?,"['Yes, we offer gift wrapping services for an additional fee. You can select the option to add gift wrapping to your order during the checkout process.', ""Certainly, we provide gift wrapping services at an extra cost. You'll find the option to include gift wrapping when you're placing your order."", 'Absolutely, we have gift wrapping services available for a small fee. You can choose to add gift wrapping to your order during checkout.']",We do not offer gift cards for returns. Please contact our customer support team for further guidance.,0.0,0.10714285714285714,2.6697261333465576
Can I use multiple promo codes for my purchase ?,"['Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.', ""In general, our system allows the use of a single promo code per order. During checkout, you'll find a designated area to enter the promo code and enjoy the discount."", ""Normally, our policy permits the use of just one promo code per order. When you reach the checkout stage, you'll have the option to enter your promo code for the discount.""]",Only one promo code can be applied per order. Please contact our customer support team for further guidance.,0.22527472170233798,0.3188466251270955,2.995187520980835
What is your return policy ?,"['Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our returns page for detailed instructions.', 'You have the flexibility to return products within 30 days of purchase for a complete refund if they are in their original condition and packaging. Additional instructions can be found on our returns page.', 'Our return policy allows you to return your purchases within 30 days for a full refund, given that the items are in their original condition and packaging. Detailed instructions are available on our returns page.']",We offer a one-time warranty on our products. Please contact our customer support team for more information and to discuss your specific requirements.,0.0,0.17316076294277927,3.8337154388427734
Can I cancel my order ?,"['You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.', ""Absolutely, order cancellations are possible as long as your order hasn't been shipped. Get in touch with our customer support team, provide your order information, and we will assist you in canceling it."", ""Certainly, you have the option to cancel your order if it has not yet been shipped. Contact our customer support team, provide your order details, and we'll help you with the cancellation steps.""]","You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.",1.0,0.9999872786484836,4.229859113693237
How long does shipping take ?,"['Shipping times vary depending on the destination and the shipping method chosen. Standard shipping usually takes 3-5 business days, while express shipping can take 1-2 business days.', 'The duration of shipping depends on your delivery location and the shipping method you select. Standard shipping usually takes 3-5 business days, whereas express shipping is quicker, arriving in 1-2 business days.', 'Shipping durations vary based on your destination and the shipping method you choose. Standard shipping usually arrives in 3-5 business days, while express shipping can get to you in just 1-2 business days.']",2 business days usually.,0.0,0.11477272727272726,1.1461262702941895
Where can I track my order ?,"[""You can track your order by logging into your account and navigating to the 'Order History' section. There, you will find the tracking information for your shipment."", ""To track your order, simply log in to your account and visit the 'Order History' section. All the tracking details for your shipment will be available there."", ""Tracking your order is easy. Log in to your account, navigate to 'Order History,' and you'll discover all the tracking information you need for your shipment.""]",We will be shipping internationally. We will be shipping to select countries.,0.0,0.12696245733788394,2.5115694999694824
What can I do when I receive a damaged package ?,"['If you receive a damaged product, you can contact our customer support team immediately. We will assist you with the necessary steps for repair or replacement.', ""In the unfortunate event that you receive a damaged product, don't hesitate to get in touch with our customer support team right away. We are here to guide you through the required steps for repair or replacement."", 'Reach out to our customer support team without delay. We are ready to provide you with the necessary instructions for repair or replacement.']",We will assist support you with our return policy and free technical support.,0.0,0.2553977272727273,2.4357669353485107
Thank you,"[""You're welcome"", 'No problem, happy to assist!', ""It's my pleasure!""]",You are welcome. Please leave a review if you liked the product.,0.0,0.24390243902439027,2.5110280513763428
Average Score,-,-,0.16197441317012803,0.2939543553850122,2.692554473876953
