Question,Expected Response,Generated Response,BLEU Score,METEOR Score,Response Time
Hello,"['Hello, how can I assist you today ?', 'Hi there, how may I help you ?', 'Greetings! What can I do for you ?']","Hello to you as well. Please check the new sticky for updates. If you have any specific questions or concerns, please contact our customer support team for assistance. We will do our best to update the product description and specifications for you. Tell me if the issue persists.",0.0,0.18930041152263377,5.831054449081421
Can I return the product purchased with a gift card ?,"['Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.', ""Absolutely, it's possible to return a product bought with a gift card, and you'll receive store credit or a new gift card as a refund."", ""Sure thing, if you've purchased a product with a gift card, you can still return it and get a refund in the form of store credit or a new gift card.""]","You can return a product if it was purchased as part of a bundle or set. However, refunds will typically be issued to the original payment method used for the purchase. The refund will be processed based on the amount paid after any applicable discounts. Contact our Customer support for further guidance. Happy holidays",0.12324361063052325,0.46198923961639826,7.394141435623169
Any wrapping services available ?,"['Yes, we offer gift wrapping services for an additional fee. You can select the option to add gift wrapping to your order during the checkout process.', ""Certainly, we provide gift wrapping services at an extra cost. You'll find the option to include gift wrapping when you're placing your order."", 'Absolutely, we have gift wrapping services available for a small fee. You can choose to add gift wrapping to your order during checkout.']","We offer free technical support, free tech support and free-stock photos. Please contact our customer support team for more information and to discuss your specific requirements. We will do our best to assist you with the necessary steps for secure and secure storage.",0.0,0.17857142857142858,6.248928070068359
Can I use multiple promo codes for my purchase ?,"['Usually, only one promo code can be applied per order. During the checkout process, enter the promo code in the designated field to apply the discount to your order.', ""In general, our system allows the use of a single promo code per order. During checkout, you'll find a designated area to enter the promo code and enjoy the discount."", ""Normally, our policy permits the use of just one promo code per order. When you reach the checkout stage, you'll have the option to enter your promo code for the discount.""]","You can use the promo code on the bottom right corner of our website to apply the discount to your order. The discount will be applied immediately after the final sale. Your order will have a discount code in the description. If you need assistance, contact customer service team with your promo details. Tell me your",0.18465032275174287,0.44623482155224153,7.423456907272339
What is your return policy ?,"['Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our returns page for detailed instructions.', 'You have the flexibility to return products within 30 days of purchase for a complete refund if they are in their original condition and packaging. Additional instructions can be found on our returns page.', 'Our return policy allows you to return your purchases within 30 days for a full refund, given that the items are in their original condition and packaging. Detailed instructions are available on our returns page.']","We offer a one-time warranty on our products. Please contact our customer support team for more information and to discuss your specific requirements. We will assist you with the necessary steps for returning your product. If you require further assistance, please contact the customersupport team with your order details.",0.0,0.1893939393939394,7.202471494674683
Can I cancel my order ?,"['You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.', ""Absolutely, order cancellations are possible as long as your order hasn't been shipped. Get in touch with our customer support team, provide your order information, and we will assist you in canceling it."", ""Certainly, you have the option to cancel your order if it has not yet been shipped. Contact our customer support team, provide your order details, and we'll help you with the cancellation steps.""]","You can cancel your entire order if it has not been shipped yet. Contact our Customer support for further guidance. The refund will be processed based on the amount paid after any applicable discounts. Your order will still be shipped once it becomes available. However, refunds will typically be issued to",0.21830361717856755,0.5820528314917128,6.837705373764038
How long does shipping take ?,"['Shipping times vary depending on the destination and the shipping method chosen. Standard shipping usually takes 3-5 business days, while express shipping can take 1-2 business days.', 'The duration of shipping depends on your delivery location and the shipping method you select. Standard shipping usually takes 3-5 business days, whereas express shipping is quicker, arriving in 1-2 business days.', 'Shipping durations vary based on your destination and the shipping method you choose. Standard shipping usually arrives in 3-5 business days, while express shipping can get to you in just 1-2 business days.']","2 business days usually. Usually it will be shipped once it becomes available. If it is not available yet, it may take a while. Please check back later or sign up for notifications. The product will usually be available soon.",0.0,0.20110759493670882,5.897178411483765
Where can I track my order ?,"[""You can track your order by logging into your account and navigating to the 'Order History' section. There, you will find the tracking information for your shipment."", ""To track your order, simply log in to your account and visit the 'Order History' section. All the tracking details for your shipment will be available there."", ""Tracking your order is easy. Log in to your account, navigate to 'Order History,' and you'll discover all the tracking information you need for your shipment.""]",You can use the website to find your order. It will update the tracking once the product becomes officially available for purchase. There is usually a section where you can enter your shipping address. You can also use our customer support team for tracking. We will assist you with the necessary steps. Tell me if it arrives. Thanks. :,0.0,0.30197709787081767,7.952921390533447
What can I do when I receive a damaged package ?,"['If you receive a damaged product, you can contact our customer support team immediately. We will assist you with the necessary steps for repair or replacement.', ""In the unfortunate event that you receive a damaged product, don't hesitate to get in touch with our customer support team right away. We are here to guide you through the required steps for repair or replacement."", 'Reach out to our customer support team without delay. We are ready to provide you with the necessary instructions for repair or replacement.']","Contact our customer support team immediately. We will assist you with the necessary steps for return and replacement. If you have any further questions, please contact our Customer support Team for further guidance. Our customer service team will be able to assist with returning and replacing damaged packages.",0.3052252727688501,0.47497631204927093,6.680441379547119
Thank you,"[""You're welcome"", 'No problem, happy to assist!', ""It's my pleasure!""]","You are welcome. Please leave a review if you liked the product. If you have any further questions, please contact our customer support team. We will do our best to assist you with the necessary steps for return and replacement. Happy holidays.",0.0,0.28434684684684686,5.598140478134155
Average Score,-,-,0.08314228233296836,0.3309950523851999,6.7066439390182495
